	vigor	speed
1	1	
2	2	
3	3	
4	4	
5	5	
6	6	
7	7	
8	0	
9	-1	
10	-2	
11	-3	
12	-4	
13	-5	
14	-6	
15	-7	
16		1
17	1	1
18	2	1
19	3	1
20	4	1
21	5	1
22	6	1
23	7	1
24		1
25	-1	1
26	-2	1
27	-3	1
28	-4	1
29	-5	1
30	-6	1
31	-7	1
32		2
33	1	2
34	2	2
35	3	2
36	4	2
37	5	2
38	6	2
39	7	2
40		2
41	-1	2
42	-2	2
43	-3	2
44	-4	2
45	-5	2
46	-6	2
47	-7	2
48		3
49	1	3
50	2	3
51	3	3
52	4	3
53	5	3
54	6	3
55	7	3
56		3
57	-1	3
58	-2	3
59	-3	3
60	-4	3
61	-5	3
62	-6	3
63	-7	3
64		4
65	1	4
66	2	4
67	3	4
68	4	4
69	5	4
70	6	4
71	7	4
72		4
73	-1	4
74	-2	4
75	-3	4
76	-4	4
77	-5	4
78	-6	4
79	-7	4
80		5
81	1	5
82	2	5
83	3	5
84	4	5
85	5	5
86	6	5
87	7	5
88		5
89	-1	5
90	-2	5
91	-3	5
92	-4	5
93	-5	5
94	-6	5
95	-7	5
96		6
97	1	6
98	2	6
99	3	6
100	4	6
101	5	6
102	6	6
103	7	6
104		6
105	-1	6
106	-2	6
107	-3	6
108	-4	6
109	-5	6
110	-6	6
111	-7	6
112		7
113	1	7
114	2	7
115	3	7
116	4	7
117	5	7
118	6	7
119	7	7
120		7
121	-1	7
122	-2	7
123	-3	7
124	-4	7
125	-5	7
126	-6	7
127	-7	7
128	0	
129	1	
130	2	
131	3	
132	4	
133	5	
134	6	
135	7	
136		
137	-1	
138	-2	
139	-3	
140	-4	
141	-5	
142	-6	
143	-7	
144		-1
145	1	-1
146	2	-1
147	3	-1
148	4	-1
149	5	-1
150	6	-1
151	7	-1
152		-1
153	-1	-1
154	-2	-1
155	-3	-1
156	-4	-1
157	-5	-1
158	-6	-1
159	-7	-1
160		-2
161	1	-2
162	2	-2
163	3	-2
164	4	-2
165	5	-2
166	6	-2
167	7	-2
168		-2
169	-1	-2
170	-2	-2
171	-3	-2
172	-4	-2
173	-5	-2
174	-6	-2
175	-7	-2
176		-3
177	1	-3
178	2	-3
179	3	-3
180	4	-3
181	5	-3
182	6	-3
183	7	-3
184		-3
185	-1	-3
186	-2	-3
187	-3	-3
188	-4	-3
189	-5	-3
190	-6	-3
191	-7	-3
192		-4
193	1	-4
194	2	-4
195	3	-4
196	4	-4
197	5	-4
198	6	-4
199	7	-4
200		-4
201	-1	-4
202	-2	-4
203	-3	-4
204	-4	-4
205	-5	-4
206	-6	-4
207	-7	-4
208		-5
209	1	-5
210	2	-5
211	3	-5
212	4	-5
213	5	-5
214	6	-5
215	7	-5
216		-5
217	-1	-5
218	-2	-5
219	-3	-5
220	-4	-5
221	-5	-5
222	-6	-5
223	-7	-5
224		-6
225	1	-6
226	2	-6
227	3	-6
228	4	-6
229	5	-6
230	6	-6
231	7	-6
232		-6
233	-1	-6
234	-2	-6
235	-3	-6
236	-4	-6
237	-5	-6
238	-6	-6
239	-7	-6
240		-7
241	1	-7
242	2	-7
243	3	-7
244	4	-7
245	5	-7
246	6	-7
247	7	-7
248		-7
249	-1	-7
250	-2	-7
251	-3	-7
252	-4	-7
253	-5	-7
254	-6	-7
255	-7	-7
